ensembl_gene_id	Gene	log2FC	padj	gene_biotype
ENSG00000209082	MT-TL1	 1.85e-01	 7.42e-01	Mt_tRNA
ENSG00000198888	MT-ND1	 4.30e-01	 6.39e-02	protein_coding
ENSG00000210107	MT-TQ	-4.54e-01	 2.85e-01	Mt_tRNA
ENSG00000210112	MT-TM	 2.45e-01	 6.28e-01	Mt_tRNA
ENSG00000198763	MT-ND2	 3.41e-01	 1.48e-01	protein_coding
ENSG00000210140	MT-TC	-1.82e-01	 7.41e-01	Mt_tRNA
ENSG00000198804	MT-CO1	 3.12e-01	 5.02e-02	protein_coding
ENSG00000210151	MT-TS1	 3.44e-02	 9.59e-01	Mt_tRNA
ENSG00000210154	MT-TD	 5.12e-01	 2.15e-01	Mt_tRNA
ENSG00000198712	MT-CO2	 2.92e-01	 1.37e-01	protein_coding
ENSG00000228253	MT-ATP8	 3.43e-01	 4.44e-01	protein_coding
ENSG00000198899	MT-ATP6	 5.48e-01	 3.31e-03	protein_coding
ENSG00000198938	MT-CO3	 3.76e-01	 2.74e-02	protein_coding
ENSG00000198840	MT-ND3	 2.19e-02	 9.72e-01	protein_coding
ENSG00000212907	MT-ND4L	 2.87e-01	 5.24e-01	protein_coding
ENSG00000198886	MT-ND4	 5.47e-01	 1.64e-03	protein_coding
ENSG00000198786	MT-ND5	 6.13e-01	 2.30e-04	protein_coding
ENSG00000198695	MT-ND6	 4.61e-02	 9.44e-01	protein_coding
ENSG00000198727	MT-CYB	 4.19e-01	 9.36e-03	protein_coding
ENSG00000210196	MT-TP	-1.23e-01	 8.42e-01	Mt_tRNA
ENSG00000205765	C5orf51	-6.01e-01	 7.64e-02	protein_coding
ENSG00000137275	RIPK1	-9.65e-02	 8.17e-01	protein_coding
ENSG00000272277	AL031963.3	-5.07e-01	 2.06e-01	lncRNA
ENSG00000167193	CRK	-5.78e-02	 9.07e-01	protein_coding
ENSG00000185340	GAS2L1	 2.10e-01	 3.50e-01	protein_coding
ENSG00000137806	NDUFAF1	-9.56e-03	 9.86e-01	protein_coding
ENSG00000107295	SH3GL2	 3.82e-01	 3.24e-01	protein_coding
ENSG00000267740	AC024592.3	 1.59e-01	 7.81e-01	protein_coding
